state,temporal_unit,date,metric,futurerevision,buprenorphine,naloxone,naltrexone,buprenorphine_brand,buprenorphine_generic,naloxone_brand,naloxone_generic,naltrexone_brand,naltrexone_generic
AR,annual,2017-01-01,rx,no,2106.0,62.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2017-01-01,rx_gb,no,0.0,0.0,0.0,1877.0,229.0,6.0,56.0,0.0,534.0
AR,annual,2017-01-01,rx_percap,no,2.946197533206583,0.0867351600469174,0.747041539758934,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2018-01-01,adjmedamt,yes,983742.4702697984,96731.7318561308,13394.306257573011,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2018-01-01,adjmedamt_gb,yes,0.0,0.0,0.0,971502.3943024328,12240.075967365448,93948.20158269328,2783.5302734375,0.0,13394.306257573011
AR,annual,2018-01-01,adjmedamt_percap,yes,1579.734235714087,155.3358049603525,21.50912947056601,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2018-01-01,rx,yes,3384.9422849430357,1702.594014469014,593.8194291127943,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2018-01-01,rx_gb,yes,0.0,0.0,0.0,2983.711735138573,401.23054980446284,1618.6805555555552,83.91345891345891,0.0,593.8194291127943
AR,annual,2018-01-01,rx_percap,yes,5.43567994169678,2.734095696245516,0.9535797328587446,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2010-01-01,adjmedamt,no,1463668.646362305,0.0,59003.322265625,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2010-01-01,adjmedamt_gb,no,0.0,0.0,0.0,1386814.236328125,76854.41003417969,0.0,0.0,0.0,59003.322265625
AZ,annual,2010-01-01,adjmedamt_percap,no,1697.2073474897531,0.0,68.41772031149762,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2010-01-01,rx,no,13665.0,13.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2010-01-01,rx_gb,no,0.0,0.0,0.0,13041.0,624.0,0.0,13.0,18.0,1379.0
AZ,annual,2010-01-01,rx_percap,no,15.845347552595339,0.0150742420917482,1.6199012463209432,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2011-01-01,adjmedamt,no,2424384.15524292,0.0,131096.8356933594,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2011-01-01,adjmedamt_gb,no,0.0,0.0,0.0,2234280.623046875,190103.5321960449,0.0,0.0,0.0,131096.8356933594
AZ,annual,2011-01-01,adjmedamt_percap,no,2935.799290770387,0.0,158.75124262732308,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2011-01-01,rx,no,18902.0,0.0,2549.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2011-01-01,rx_gb,no,0.0,0.0,0.0,17666.0,1236.0,0.0,0.0,8.0,2541.0
AZ,annual,2011-01-01,rx_percap,no,22.889309053655968,0.0,3.0867024006861223,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2012-01-01,adjmedamt,no,835574.6356201172,0.0,57254.64111328125,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2012-01-01,adjmedamt_gb,no,0.0,0.0,0.0,775686.6376953125,59887.99792480469,0.0,0.0,0.0,57254.64111328125
AZ,annual,2012-01-01,adjmedamt_percap,no,919.073054482585,0.0,62.97605940639289,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2012-01-01,rx,no,5702.0,14.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2012-01-01,rx_gb,no,0.0,0.0,0.0,5278.0,424.0,0.0,14.0,2.0,1037.0
AZ,annual,2012-01-01,rx_percap,no,6.2717970762365844,0.0153990107098057,1.142826580534867,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2013-01-01,adjmedamt,no,1610240.230651855,0.0,53005.82922363281,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2013-01-01,adjmedamt_gb,no,0.0,0.0,0.0,1229005.446655273,381234.78399658203,0.0,0.0,0.0,53005.82922363281
AZ,annual,2013-01-01,adjmedamt_percap,no,1823.0199261468438,0.0,60.01010348468404,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2013-01-01,rx,no,12989.0,6.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2013-01-01,rx_gb,no,0.0,0.0,0.0,9783.0,3206.0,0.0,6.0,0.0,1806.0
AZ,annual,2013-01-01,rx_percap,no,14.70538704099796,0.0067928495069665,2.044647701596914,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2014-01-01,adjmedamt,no,1647601.0805358891,0.0,73429.96164438501,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2014-01-01,adjmedamt_gb,no,0.0,0.0,0.0,264723.1256103516,1382877.954925537,0.0,0.0,34858.9296875,38571.03195688502
AZ,annual,2014-01-01,adjmedamt_percap,no,1329.406879277403,0.0,59.2487449227519,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2014-01-01,rx,no,15289.0,6.0,1961.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2014-01-01,rx_gb,no,0.0,0.0,0.0,1993.0,13296.0,0.0,6.0,42.0,1919.0
AZ,annual,2014-01-01,rx_percap,no,12.33630034441427,0.0048412454749484,1.5822803960622918,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2015-01-01,adjmedamt,no,3523514.2405395512,0.0,217319.25048828128,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2015-01-01,adjmedamt_gb,no,0.0,0.0,0.0,559613.3944702147,2963900.8460693364,0.0,0.0,116505.73828125,100813.51220703131
AZ,annual,2015-01-01,adjmedamt_percap,no,2549.798012844135,0.0,157.2635032015494,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2015-01-01,rx,no,31825.0,9.0,4120.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2015-01-01,rx_gb,no,0.0,0.0,0.0,2593.0,29232.0,2.0,7.0,121.0,3999.0
AZ,annual,2015-01-01,rx_percap,no,23.03022386716355,0.0065128677079174,2.9814461062910866,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2016-01-01,adjmedamt,no,4218712.293212892,49782.751953125,714820.5474243164,0.0,0.0,0.0,0.0,0.0,0.0
AZ,annual,2016-01-01,adjmedamt_gb,no,0.0,0.0,0.0,2061746.9748535159,2156965.318359375,49782.751953125,0.0,570014.66015625,144805.8872680664
AZ,annual,2016-01-01,adjmedamt_percap,no,2867.785116742256,33.84118783149237,485.9188265440596,0.0,0.0,0.0,0.0,0.0,0.0
